state,death_rate_2022,death_rate_2019,expanded_medicaid,mortality_change,mortality_pct_change
AL,1057.3,975.8,False,81.5,8.352121336339415
AK,815.1,751.5,True,63.60000000000002,8.463073852295413
AZ,788.2,715.5,True,72.70000000000005,10.160726764500355
AR,1029.1,959.8,True,69.29999999999995,7.220254219629085
CA,650.3,601.1,True,49.19999999999993,8.184994177341528
CO,744.0,681.2,True,62.799999999999955,9.219025249559595
CT,684.0,636.9,True,47.10000000000002,7.395195478097036
DE,850.5,785.5,True,65.0,8.274984086569065
DC,896.7,778.9,True,117.80000000000007,15.123892669148809
FL,812.2,737.9,False,74.30000000000007,10.069115056240692
GA,877.4,806.3,False,71.10000000000002,8.818057794865437
HI,564.9,569.2,True,-4.300000000000068,-0.7554462403373274
ID,771.3,709.7,True,61.59999999999991,8.679723826969129
IL,777.2,732.7,True,44.5,6.073427050634638
IN,905.5,856.3,True,49.200000000000045,5.745649889057579
IA,777.4,732.5,True,44.89999999999998,6.129692832764502
KS,833.2,789.5,False,43.700000000000045,5.535148828372393
KY,1028.2,970.6,True,57.60000000000002,5.934473521533074
LA,967.4,913.7,True,53.69999999999993,5.8772025829046655
ME,824.6,777.9,True,46.700000000000045,6.003342331919276
MD,757.9,723.9,True,34.0,4.696781323387208
MA,676.6,631.0,True,45.60000000000002,7.226624405705233
MI,858.3,813.9,True,44.39999999999998,5.455215628455582
MN,670.4,633.7,True,36.69999999999993,5.791383935616211
MS,1099.2,1033.5,False,65.70000000000005,6.357039187227871
MO,928.9,880.2,True,48.69999999999993,5.532833446943868
MT,834.9,784.9,True,50.0,6.370238246910434
NE,748.1,717.9,True,30.200000000000045,4.206714027023269
NV,889.6,817.3,True,72.30000000000007,8.846200905420295
NH,689.1,662.5,True,26.600000000000023,4.015094339622645
NJ,686.7,649.2,True,37.5,5.776340110905729
NM,843.6,816.0,True,27.600000000000023,3.3823529411764732
NY,668.1,621.8,True,46.30000000000007,7.446124155677078
NC,846.5,787.5,True,59.0,7.492063492063491
ND,775.9,756.9,True,19.0,2.51023913330691
OH,954.6,905.3,True,49.30000000000007,5.445708604882367
OK,1015.1,970.5,True,44.60000000000002,4.595569294178261
OR,780.6,736.5,True,44.10000000000002,5.987780040733201
PA,856.7,808.1,True,48.60000000000002,6.014107164954835
RI,756.5,699.6,True,56.89999999999998,8.133218982275583
SC,921.8,867.5,False,54.299999999999955,6.259365994236306
SD,793.7,741.5,True,52.200000000000045,7.039784221173304
TN,1008.7,952.9,False,55.80000000000007,5.855808584321552
TX,761.3,699.0,False,62.299999999999955,8.912732474964228
UT,614.9,577.3,True,37.60000000000002,6.5130781222934395
VT,762.1,712.4,True,49.700000000000045,6.9764177428411065
VA,768.9,727.2,True,41.69999999999993,5.734323432343224
WA,699.7,646.9,True,52.80000000000007,8.162003400834761
WV,1180.1,1119.7,True,60.399999999999864,5.394302045190664
WI,753.0,707.3,False,45.700000000000045,6.461190442527929
WY,849.2,802.8,False,46.40000000000009,5.779770802192338
